Figure 7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,target,value,,Ecolohical sector,Human,Animal,Environment,,Host_phylogroup,A,B1,B2,C,D,F,G,cladeI,,Length_distribution,P1,P6,P7,P22,P9,P15,P11,P12,P24,P38,P57,P72,P76,P79,P98,P105,P114,P119,P128,P135,P187,P192,P197,,Copy_number,P1,P6,P7,P22,P9,P15,P11,P12,P24,P38,P57,P72,P76,P79,P98,P105,P114,P119,P128,P135,P187,P192,P197,,cir-group,Conj,mob_unconj,unmob,,ARG_number,P1,P6,P7,P22,P9,P15,P11,P12,P24,P38,P57,P72,P76,P79,P98,P105,P114,P119,P128,P135,P187,P192,P197
P187,Human,1,,P187,1,1,1,3,P187,0.00 ,33.33 ,33.33 ,0.00 ,0.00 ,0.00 ,33.33 ,0.00 ,,,4.66652734,,,,,,,,,,,,,,,,,,,,,,,,,1.282880535,,,,,,,,,,,,,,,,,,,,,,,,P187,0 ,100 ,0 ,,,6,,,,,,,,,,,,,,,,,,,,,,
P192,Human,1,,P192,1,1,1,3,P192,0.00 ,33.33 ,0.00 ,0.00 ,33.33 ,0.00 ,0.00 ,33.33 ,,,4.66808759,,,,,,,,,,,,,,,,,,,,,,,,,1.556444505,,,,,,,,,,,,,,,,,,,,,,,,P192,0 ,0 ,100 ,,,6,,,,,,,,,,,,,,,,,,,,,,
P197,Human,1,,P197,1,1,1,3,P197,66.67 ,33.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,4.66808759,,,,,,,,,,,,,,,,,,,,,,,,,1.138755791,,,,,,,,,,,,,,,,,,,,,,,,P197,0 ,100 ,0 ,,,6,,,,,,,,,,,,,,,,,,,,,,
P1,Animal,2,,,,,,,,,,,,,,,,,,4.66804095,,,,,,,,,,,,,,,,,,,,,,,,,1.796573685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P6,Animal,2,,,,,,,,,,,,,,,,,,4.66809691,,,,,,,,,,,,,,,,,,,,,,,,,1.346810212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
P7,Animal,8,,,,,,,,,,,,,,,,,,4.66809691,,,,,,,,,,,,,,,,,,,,,,,,,1.76455517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P9,Animal,7,,,,,,,,,,,,,,,,,,4.6676117,,,,,,,,,,,,,,,,,,,,,,,,,1.069991377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P11,Animal,9,,,,,,,,,,,,,,,,,,4.66781705,,,,,,,,,,,,,,,,,,,,,,,,,2.074307214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
P12,Animal,2,,,,,,,,,,,,,,,,,,4.66809691,,,,,,,,,,,,,,,,,,,,,,,,,2.034209485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
P15,Animal,6,,,,,,,,,,,,,,,,,,4.66805028,,,,,,,,,,,,,,,,,,,,,,,,,1.51087412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
